,ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,Classe-IDEB
333,26022850,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Acima da média
334,26064642,5.0,1.0,6.0,8.0,35.0,1.0,40.0,0.0,1.0,12.0,19.0,1.0,6.0,11.0,4.0,7.0,Abaixo da média
335,26065401,6.0,1.0,6.0,2.0,27.0,1.0,35.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,2.0,Acima da média
336,26023245,6.0,2.0,4.0,2.0,10.0,1.0,23.0,1.0,1.0,2.0,7.0,1.0,4.0,6.0,1.0,4.0,Abaixo da média
337,26023334,5.0,1.0,11.0,4.0,17.0,0.0,21.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,Média
338,26133949,11.0,3.0,10.0,4.0,27.0,1.0,45.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,Acima da média
339,26043130,2.0,2.0,2.0,2.0,5.0,0.0,11.0,1.0,1.0,8.0,6.0,0.0,3.0,1.0,8.0,0.0,Abaixo da média
340,26043335,26.0,5.0,4.0,6.0,18.0,0.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Acima da média
341,26103834,8.0,5.0,7.0,6.0,27.0,0.0,26.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,1.0,0.0,Acima da média
342,26065606,3.0,2.0,9.0,3.0,19.0,0.0,46.0,0.0,0.0,14.0,10.0,1.0,5.0,6.0,5.0,3.0,Abaixo da média
343,26081180,2.0,0.0,1.0,3.0,13.0,0.0,13.0,0.0,0.0,2.0,11.0,1.0,1.0,3.0,3.0,4.0,Média
344,26091828,3.0,1.0,5.0,3.0,27.0,1.0,34.0,0.0,1.0,27.0,26.0,0.0,3.0,22.0,5.0,9.0,Abaixo da média
345,26066181,8.0,6.0,5.0,4.0,38.0,0.0,62.0,0.0,0.0,16.0,32.0,0.0,6.0,16.0,7.0,2.0,Abaixo da média
346,26066220,1.0,2.0,4.0,2.0,17.0,0.0,27.0,0.0,1.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,Abaixo da média
347,26092301,5.0,3.0,3.0,0.0,6.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Acima da média
348,26008530,23.0,5.0,9.0,5.0,29.0,0.0,43.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,Acima da média
349,26008882,2.0,0.0,0.0,0.0,4.0,0.0,16.0,1.0,1.0,8.0,4.0,1.0,1.0,7.0,2.0,1.0,Abaixo da média
350,26048337,14.0,3.0,4.0,6.0,23.0,1.0,39.0,0.0,0.0,7.0,23.0,0.0,7.0,20.0,2.0,7.0,Abaixo da média
351,26024578,0.0,0.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,Abaixo da média
352,26024616,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,1.0,3.0,5.0,2.0,0.0,Abaixo da média
353,26049406,11.0,2.0,6.0,3.0,27.0,1.0,26.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,Acima da média
354,26049422,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,7.0,1.0,1.0,5.0,0.0,0.0,Abaixo da média
355,26014190,8.0,2.0,4.0,1.0,20.0,0.0,23.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,Acima da média
356,26092786,16.0,3.0,3.0,6.0,32.0,1.0,34.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,Acima da média
357,26094860,1.0,2.0,1.0,0.0,18.0,1.0,13.0,1.0,1.0,17.0,13.0,1.0,6.0,10.0,14.0,5.0,Abaixo da média
358,26094878,6.0,2.0,4.0,5.0,31.0,0.0,24.0,0.0,1.0,15.0,28.0,0.0,8.0,19.0,6.0,6.0,Abaixo da média
359,26095297,1.0,1.0,3.0,1.0,21.0,1.0,19.0,1.0,1.0,2.0,8.0,1.0,2.0,3.0,0.0,2.0,Acima da média
360,26095335,5.0,1.0,3.0,1.0,13.0,1.0,18.0,0.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,Acima da média
361,26095920,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,Abaixo da média
