ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,IDEB 2017,Classe-IDEB
26042312,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,3.4,Abaixo da média
26154358,3.0,2.0,2.0,2.0,15.0,0.0,20.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,4.1,Acima da média
26033879,41.0,19.0,30.0,12.0,88.0,1.0,103.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,4.9,Acima da média
26034310,4.0,1.0,1.0,0.0,10.0,0.0,15.0,1.0,1.0,6.0,6.0,1.0,0.0,3.0,1.0,1.0,3.5,Abaixo da média
26034328,1.0,0.0,0.0,3.0,7.0,0.0,12.0,1.0,1.0,6.0,10.0,1.0,5.0,7.0,4.0,2.0,3.6,Abaixo da média
26034336,21.0,7.0,14.0,5.0,45.0,0.0,42.0,0.0,0.0,7.0,9.0,1.0,2.0,6.0,0.0,2.0,4.3,Acima da média
26034352,21.0,8.0,20.0,6.0,42.0,1.0,46.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,Acima da média
26034360,0.0,1.0,0.0,2.0,13.0,0.0,29.0,0.0,1.0,5.0,4.0,1.0,0.0,2.0,2.0,3.0,3.2,Abaixo da média
26034425,0.0,1.0,2.0,1.0,15.0,0.0,16.0,0.0,0.0,8.0,10.0,1.0,0.0,4.0,3.0,2.0,3.3,Abaixo da média
26034441,31.0,16.0,25.0,10.0,57.0,1.0,70.0,0.0,0.0,10.0,17.0,1.0,3.0,7.0,1.0,3.0,3.7,Abaixo da média
26034476,11.0,4.0,11.0,4.0,29.0,0.0,41.0,1.0,1.0,6.0,13.0,1.0,3.0,8.0,4.0,0.0,4.4,Acima da média
26034832,3.0,2.0,1.0,2.0,6.0,0.0,16.0,1.0,1.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,3.7,Abaixo da média
26035049,8.0,4.0,9.0,5.0,37.0,0.0,44.0,0.0,1.0,11.0,6.0,1.0,3.0,3.0,1.0,1.0,3.9,Abaixo da média
